iter,step,seg,loss,gn_cum,indep_gn
1,8,ans_final,1.4554,70.0312,4.9927
1,9,ans_first,1.9720,5.5689,5.5689
1,9,cq,1.9139,23.5323,22.7555
1,9,ans_final,1.4556,24.0054,5.5132
1,9,ans_first,2.1082,25.0416,6.6776
1,9,cq,3.0257,37.7762,25.3207
1,9,ans_final,1.5192,38.0187,5.3164
1,9,ans_first,1.5773,38.4719,6.0576
1,9,cq,1.9658,48.8208,21.8048
1,9,ans_final,1.5962,49.1695,5.0836
1,9,ans_first,1.6602,49.7196,7.5834
1,9,cq,0.8323,55.4956,15.4665
1,9,ans_final,1.4433,55.8767,5.0976
1,9,ans_first,1.3859,56.2081,6.4049
1,9,cq,2.3579,62.3809,22.8124
1,9,ans_final,1.6596,62.9556,6.5682
1,9,ans_first,1.4434,63.4894,6.5467
1,9,cq,2.4192,79.7614,28.2335
1,9,ans_final,1.7436,79.9550,5.6851
1,9,ans_first,1.4603,80.3208,5.2310
1,9,cq,1.0708,83.1950,18.0289
1,9,ans_final,1.6498,83.7153,4.5940
1,9,ans_first,1.4926,84.0483,6.2172
1,9,cq,2.0635,93.0944,19.9447
1,9,ans_final,1.6533,93.5505,6.1664
1,10,ans_first,1.6832,5.2335,5.2335
1,10,cq,2.0102,19.2941,18.4494
1,10,ans_final,1.3159,19.5712,4.2177
1,10,ans_first,1.2977,20.4757,6.0202
1,10,cq,1.3925,28.4952,19.5182
1,10,ans_final,1.3293,28.8975,4.7399
1,10,ans_first,2.6608,31.1253,11.3795
1,10,cq,2.5960,42.8951,26.4787
1,10,ans_final,1.8095,43.7251,7.2118
1,10,ans_first,1.6307,44.2677,7.0763
1,10,cq,1.1967,49.2719,16.8350
1,10,ans_final,1.4082,49.7442,5.7751
1,10,ans_first,2.5838,50.0196,5.6491
1,10,cq,2.4652,71.6051,42.8880
1,10,ans_final,1.5537,71.9199,3.7970
1,10,ans_first,2.3126,72.3113,6.6175
1,10,cq,3.2511,79.1212,25.8076
1,10,ans_final,1.9484,79.4876,5.6671
1,10,ans_first,1.2488,79.9533,6.5345
1,10,cq,2.1785,89.0376,22.4740
1,10,ans_final,1.6767,89.0670,4.1532
1,10,ans_first,1.5405,89.4728,6.2373
1,10,cq,1.3958,95.9419,18.2302
1,10,ans_final,1.3168,96.3966,6.0304
1,11,ans_first,2.2075,7.6381,7.6381
1,11,cq,1.7733,28.2039,27.3821
1,11,ans_final,1.3654,28.5804,4.5543
1,11,ans_first,1.9398,29.4585,6.9092
1,11,cq,1.8337,52.5372,35.0358
1,11,ans_final,1.5873,52.9157,5.0597
1,11,ans_first,1.8420,52.9179,3.8892
1,11,cq,1.0590,55.6169,9.6763
1,11,ans_final,1.6722,55.9154,6.3860
1,11,ans_first,1.8709,56.4644,7.2711
1,11,cq,2.0792,66.6746,21.5834
1,11,ans_final,1.6346,66.9619,4.2466
1,11,ans_first,1.3624,66.9885,5.3053
1,11,cq,1.8086,67.3492,11.4807
1,11,ans_final,1.7229,67.7682,5.2337
1,11,ans_first,2.1001,67.8436,6.0039
1,11,cq,1.5880,78.7347,21.1473
1,11,ans_final,1.7648,79.1774,5.7855
1,11,ans_first,1.9278,79.6615,8.3285
1,11,cq,0.9445,95.8137,24.0557
1,11,ans_final,1.5839,96.0444,3.7132
1,11,ans_first,1.4910,96.2226,4.7369
1,11,cq,1.8113,99.0513,18.8533
1,11,ans_final,1.4271,99.4669,6.3939
1,12,ans_first,1.7686,8.8257,8.8257
1,12,cq,2.0436,22.8107,21.3528
1,12,ans_final,1.6717,22.9651,3.9273
1,12,ans_first,1.9909,24.3358,7.7559
1,12,cq,1.3053,32.0725,17.2617
1,12,ans_final,1.4229,32.3689,4.1370
1,12,ans_first,1.8043,32.9626,6.5763
